%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1520814095765185649,149,1520814095764379978,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814096830592064,150,1520814096829369068,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814097808996467,151,1520814097807636022,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814098812873453,152,1520814098812040090,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814099809078562,153,1520814099808320999,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814100729087852,154,1520814100728440046,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814101776530776,155,1520814101775499105,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814102831542426,156,1520814102830795049,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814103781120299,157,1520814103780158042,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814104756349416,158,1520814104755295038,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814105829970068,159,1520814105828382015,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814106829538819,160,1520814106828408002,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814107774437391,161,1520814107773639917,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814108774085105,162,1520814108772851943,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814109756591694,163,1520814109755501985,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814110830264616,164,1520814110829128980,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814111829716178,165,1520814111828666925,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814112817466249,166,1520814112816348075,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814113829148016,167,1520814113828418016,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814114800214541,168,1520814114799185037,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814115808636618,169,1520814115807635068,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814116776970778,170,1520814116776192903,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814117829571688,171,1520814117828440904,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814118812534767,172,1520814118811860084,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814119808546468,173,1520814119807215929,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814120830107763,174,1520814120829217910,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814121781716992,175,1520814121780675888,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814122759643755,176,1520814122758507966,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814123835294789,177,1520814123834249019,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814124785334093,178,1520814124784310102,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814125784663234,179,1520814125783732891,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814126770515008,180,1520814126769717931,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814127784014996,181,1520814127782952070,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814128836132905,182,1520814128835194110,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814129778505037,183,1520814129777579069,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814130775146431,184,1520814130774322986,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
