%time,field.data
1520818009490356085,47
1520818009562984449,47
1520818009638988702,47
1520818009712592369,47
1520818009786393257,47
1520818009861869045,47
1520818009935504829,47
1520818010009375961,47
1520818010083297936,47
1520818010157722945,47
1520818010232734069,47
1520818010306370001,47
1520818010380129516,47
1520818010454805420,47
1520818010529225752,47
1520818010588861576,47
1520818010662940998,47
1520818010736442043,47
1520818010810172832,47
1520818010885713290,47
1520818010959526601,47
1520818011033419131,47
1520818011107450535,47
1520818011181568073,47
1520818011256554509,47
1520818011330292606,47
1520818011404157535,47
1520818011479598189,47
1520818011553292536,47
1520818011627114357,47
1520818011700631030,47
1520818011774575306,47
1520818011835307150,47
1520818011893929182,47
1520818011969098718,47
1520818012043021950,47
1520818012116651912,47
1520818012190536237,47
1520818012265796749,47
1520818012339603390,47
1520818012413340508,47
1520818012487986863,47
1520818012561767394,47
1520818012636790074,47
1520818012710601870,47
1520818012784737960,47
1520818012859827165,47
1520818012933543225,47
1520818013007404062,47
1520818013081042111,47
1520818013140616554,47
1520818013215227632,47
1520818013289721992,47
1520818013363495718,47
1520818013437425864,47
1520818013511445777,47
1520818013585683530,47
1520818013660700600,47
1520818013734775834,47
1520818013808191119,47
1520818013883906368,47
1520818013957414392,47
1520818014031452522,47
1520818014105033673,47
1520818014178899366,47
1520818014254807708,47
1520818014328719258,47
1520818014387712598,47
1520818014447281546,47
1520818014520959201,47
1520818014595895812,47
1520818014670107262,47
1520818014744063395,47
1520818014817777774,47
1520818014891908901,47
1520818014966139107,47
1520818015041074643,47
1520818015114900339,47
1520818015188677375,47
1520818015264095751,47
1520818015337818602,47
1520818015411844716,47
1520818015486225067,47
1520818015559316360,47
1520818015634913643,47
1520818015693845110,47
1520818015767599025,47
1520818015841670808,47
1520818015915548031,47
1520818015991278664,47
1520818016065265372,47
1520818016138951165,47
1520818016212678371,47
1520818016287932226,47
1520818016361722441,47
1520818016435624329,47
1520818016510039928,47
1520818016584073204,47
1520818016659011038,47
1520818016732992447,47
1520818016806615485,47
1520818016881682948,47
1520818016939373727,47
1520818017000698317,47
1520818017074454962,47
1520818017148193783,47
1520818017221845600,47
1520818017295918480,47
1520818017371706826,47
1520818017445384139,47
1520818017519146432,47
1520818017593360887,47
1520818017668493099,47
1520818017741948358,47
1520818017816005543,47
1520818017890734060,47
1520818017964071981,47
1520818018039235704,47
1520818018113284376,47
1520818018186877488,47
1520818018246719562,47
1520818018305499624,47
1520818018380919672,47
1520818018454848442,47
